27932,5424,2697,1462,803,539,416,364,221,162,186,143,81,92,73,78,72,73,51,45,43,36,37,24,28,17,15,19,24,11,13,15,14,15,12,15,11,6,4,3,4,7,3,6,2,7,8,7,8,0
6511,1127,422,180,249,195,82,60,83,53,48,24,38,18,15,13,11,10,4,11,7,3,9,9,7,6,6,4,7,4,4,6,2,3,3,2,4,1,1,2,4,2,3,1,1,1,1,1,2,0
3517,449,196,138,113,51,60,10,19,16,3,12,14,9,11,6,17,9,8,1,2,3,4,4,1,8,5,8,4,5,0,0,0,4,1,2,2,0,0,0,0,1,1,0,0,1,1,0,3,0
2044,209,178,53,28,18,17,6,12,19,11,18,10,6,12,12,14,3,11,5,6,1,1,1,4,2,2,3,0,1,0,1,0,2,2,0,2,2,0,0,0,1,0,1,0,2,0,1,0,0
1115,189,68,31,11,20,8,15,5,10,8,0,0,2,5,1,2,2,2,0,0,3,0,0,0,2,0,0,0,4,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
789,194,64,19,46,8,7,7,9,0,0,4,3,8,0,2,3,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0
577,110,37,20,5,8,20,4,9,11,2,4,5,9,2,1,0,1,2,4,1,0,0,0,1,3,4,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
436,73,18,9,16,7,8,0,8,3,2,4,4,3,3,0,1,4,0,2,2,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
295,87,21,13,8,2,5,12,0,15,3,1,3,0,1,8,1,1,1,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
299,54,18,23,4,1,5,4,7,0,2,4,7,1,7,1,0,2,1,0,1,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
227,45,9,8,9,2,0,0,1,2,0,0,4,1,3,2,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
183,15,14,15,3,4,5,3,6,3,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
