23969,6236,3205,2527,1519,1094,755,506,391,322,250,176,151,135,110,91,77,73,56,51,48,36,26,39,22,28,33,30,12,15,9,5,6,7,3,6,9,17,7,6,6,4,4,4,2,0,2,2,0,1
7069,1758,1248,699,536,189,230,243,141,117,56,81,58,32,44,38,27,12,16,18,7,7,17,17,8,8,6,9,10,6,1,3,5,4,3,5,3,1,3,1,1,1,0,5,3,3,0,0,2,1
3584,1282,597,479,226,166,126,100,90,66,43,44,50,41,20,31,15,12,21,7,11,12,11,2,7,5,1,5,4,6,4,2,2,6,2,2,2,1,2,2,2,0,1,4,0,0,0,2,3,0
2540,612,505,318,193,158,96,84,61,39,26,27,19,19,16,21,6,24,7,7,11,12,3,6,9,3,1,5,2,3,3,4,2,0,1,1,2,1,2,4,1,2,0,1,0,0,0,0,1,0
1882,490,252,214,79,107,136,63,45,33,29,20,21,25,21,22,12,6,5,11,3,5,6,5,4,1,2,0,2,6,4,3,0,3,0,0,0,0,4,1,4,1,0,0,0,0,0,1,1,0
1324,268,228,206,94,50,51,59,38,7,20,13,19,10,10,16,9,13,9,1,1,7,2,1,0,4,0,1,0,4,0,0,1,3,0,4,1,1,0,2,1,0,0,0,1,0,0,0,1,0
890,207,136,90,120,42,45,25,35,38,20,11,18,13,11,5,10,4,12,11,6,0,3,2,5,3,1,0,3,0,5,2,1,2,0,3,1,2,0,0,2,1,0,1,0,0,2,0,0,0
565,294,145,94,82,59,48,17,20,12,7,17,12,7,7,5,0,2,6,1,1,4,0,5,4,3,0,1,0,0,2,1,0,0,1,1,1,0,0,2,0,2,1,0,0,1,0,0,0,0
501,143,113,80,67,32,36,22,16,12,17,7,12,7,10,3,2,4,2,3,2,0,1,5,4,3,2,1,0,0,4,2,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0
416,130,94,63,35,18,39,12,17,8,6,8,3,3,4,3,2,3,2,5,4,2,6,1,1,1,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
362,89,69,45,46,18,21,22,18,8,9,17,4,1,3,1,4,5,1,7,2,3,1,1,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
239,109,54,44,33,31,18,27,18,10,3,5,2,4,4,4,2,2,1,3,1,4,3,1,2,0,2,1,0,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
218,46,70,17,30,13,37,17,7,10,5,5,10,1,1,1,3,2,0,1,2,0,1,1,3,0,1,0,0,2,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,47,69,42,32,7,16,13,11,12,2,10,2,1,1,0,1,1,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
155,73,40,39,24,19,18,18,8,2,8,10,0,3,1,1,0,1,1,0,1,3,1,2,0,1,0,0,2,0,0,2,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0
128,30,47,25,24,11,5,8,9,2,1,5,3,1,2,2,0,1,2,2,0,2,1,1,1,0,1,3,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,47,28,16,18,9,7,10,6,6,4,6,9,1,2,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,24,20,42,18,3,12,5,8,2,3,1,1,3,0,0,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,14,20,18,6,7,10,2,4,4,0,0,2,0,1,3,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
72,26,12,9,8,6,9,0,12,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
